appid,name,release_date,developer,publisher,positive_reviews,negative_reviews,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,ccu,english,categories,genres
396710,The Adventure Pals,2018-04-03,Massive Monster,Armor Games Studios,1205,98,"200,000 - 500,000",418,0,793,0,14.99,10,1,Single-player;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards,Action;Adventure;Indie;RPG
47700,Command & Conquer 4: Tiberian Twilight,2010-03-18,EA Los Angeles,Electronic Arts,531,2465,"200,000 - 500,000",514,0,312,0,0.0,5,1,Single-player;Multi-player,Strategy
244930,SNOW - The Ultimate Edition,2019-02-14,"Poppermost Productions, WastedStudios, Crytek",Crytek,7942,4153,"1,000,000 - 2,000,000",135,0,27,0,14.99,15,1,Single-player;Multi-player;Online Multi-Player;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;VR Support;In-App Purchases;Steam Cloud;Steam Leaderboards,Free to Play;Indie;Simulation;Sports
308040,Back to Bed,2014-08-06,Bedtime Digital Games,Bedtime Digital Games,1957,451,"1,000,000 - 2,000,000",198,0,200,0,5.99,3,1,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Cloud,Action;Casual;Indie
825310,Dude Simulator 2,2018-07-27,Kiddy,Kiddy,887,785,"200,000 - 500,000",41,0,48,0,4.99,2,1,Single-player;Steam Trading Cards,Action;Adventure;Indie;Racing;Simulation
1044200,Wasteland Survival,2019-03-31,"Joyloft Co., Limited","Joyloft Co., Limited",3085,2132,"500,000 - 1,000,000",0,0,0,0,0.0,52,1,Single-player;In-App Purchases,Action;Adventure;Free to Play;RPG;Simulation;Early Access
281990,Stellaris,2016-05-09,Paradox Development Studio,Paradox Interactive,104170,14466,"2,000,000 - 5,000,000",5014,748,1255,558,39.99,17493,1,Single-player;Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Cloud,Simulation;Strategy
104900,ORION: Prelude,2013-04-16,DANKIE,DANKIE,21868,7256,"2,000,000 - 5,000,000",282,0,133,0,0.99,5,1,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Valve Anti-Cheat enabled;Stats;Steam Leaderboards;Includes level editor,Action;Adventure;Indie;RPG
633230,NARUTO TO BORUTO: SHINOBI STRIKER,2018-08-30,Soleil Ltd.,BANDAI NAMCO Entertainment,32130,5374,"1,000,000 - 2,000,000",1360,264,423,357,49.99,1508,1,Single-player;Online Multi-Player;Online Co-op;Steam Achievements;Partial Controller Support,Action
115320,Prototype 2,2012-07-26,Radical Entertainment,Activision,8732,2946,"500,000 - 1,000,000",571,1,525,1,39.99,95,1,Single-player;Steam Achievements;Steam Cloud;Stats;Steam Leaderboards,Action;Adventure
241260,Sherlock Holmes: Crimes and Punishments,2014-09-29,Frogwares,Frogwares,4731,470,"200,000 - 500,000",337,248,546,248,29.99,76,1,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Adventure
206190,Gunpoint,2013-06-03,Suspicious Developments,Suspicious Developments,11628,307,"500,000 - 1,000,000",210,0,226,0,9.99,6,1,Single-player;Steam Achievements;Steam Trading Cards;Captions available;Steam Cloud;Includes level editor,Action;Indie;Strategy
449760,Tenrow,2016-04-08,Cleverweek,Cleverweek,131,27,"100,000 - 200,000",243,0,304,0,2.99,1,1,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Casual;Indie
688130,Pogostuck: Rage With Your Friends,2019-02-28,Hendrik Felix Pohl,Hendrik Felix Pohl,2827,528,"200,000 - 500,000",458,15,345,15,6.99,116,1,Single-player;Multi-player;Online Multi-Player;Steam Achievements;Full controller support;Steam Cloud;Steam Leaderboards,Action;Adventure;Casual;Indie
418240,Shadow Tactics: Blades of the Shogun,2016-12-06,Mimimi Games,Daedalic Entertainment,28127,1114,"1,000,000 - 2,000,000",468,73,145,73,39.99,1687,1,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Indie;Strategy
57680,The First Templar - Steam Special Edition,2011-05-12,Haemimont Games,Kalypso Media Digital,617,250,"100,000 - 200,000",119,0,72,0,9.99,1,1,Single-player;Local Co-op;Steam Achievements,Action;Adventure
407900,Princess Remedy in a World of Hurt,2016-01-01,"Ludosity, Remar Games",Ludosity,2643,64,"200,000 - 500,000",60,0,60,0,0.0,1,1,Single-player;Full controller support,Action;Adventure;Indie
22130,Hearts of Iron 2 Complete,2009-01-23,Paradox Development Studio,Paradox Interactive,388,66,"100,000 - 200,000",3,0,3,0,14.99,76,1,Single-player;Multi-player,Strategy
544610,Battlestar Galactica Deadlock,2017-08-31,Black Lab Games,Slitherine Ltd.,1828,317,"100,000 - 200,000",435,0,456,0,39.99,115,1,Single-player;Multi-player;Online Multi-Player;Online Co-op;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,Strategy
286690,Metro 2033 Redux,2014-08-27,4A Games,Deep Silver,53012,7416,"2,000,000 - 5,000,000",597,847,442,847,19.99,453,1,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action
343860,Tacoma,2017-08-01,Fullbright,Fullbright,3158,510,"100,000 - 200,000",201,0,216,0,19.99,7,1,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Adventure;Indie
1020470,Evoland Legendary Edition,2019-02-07,Shiro Games,Shiro Unlimited,1285,283,"100,000 - 200,000",371,0,518,0,19.99,34,1,Single-player;Steam Achievements;Full controller support;Steam Cloud,Action;Adventure;Casual;Indie;RPG
234190,Receiver,2013-04-29,Wolfire Games,Wolfire Games,3182,812,"500,000 - 1,000,000",41,0,25,0,4.99,3,1,Single-player,Action;Indie;Simulation
21100,F.E.A.R. 3,2011-06-21,Day 1 Studios,Warner Bros. Interactive Entertainment,7184,2757,"1,000,000 - 2,000,000",528,0,282,0,19.99,50,1,Single-player;Multi-player;Co-op;Steam Achievements;Partial Controller Support;Steam Cloud;Steam Leaderboards,Action
372800,RPG MO,2015-08-18,Marxnet,Marxnet,2075,540,"500,000 - 1,000,000",302,0,85,0,0.0,82,1,Multi-player;Online Multi-Player;MMO;Co-op;Online Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;In-App Purchases;Partial Controller Support;Stats;Steam Leaderboards,Adventure;Free to Play;Indie;Massively Multiplayer;RPG;Early Access
99910,Puzzle Pirates,2011-08-31,"Grey Havens, LLC","Grey Havens, LLC",1333,320,"200,000 - 500,000",271,1,108,1,0.0,94,1,Single-player;Multi-player;MMO;Co-op;Steam Achievements,Adventure;Casual;Free to Play;Massively Multiplayer;Strategy
455910,STAR WARS: Rogue Squadron 3D,2016-03-29,"Factor 5, LucasArts","LucasArts, Lucasfilm, Disney",731,262,"100,000 - 200,000",89,0,98,0,9.99,3,1,Single-player;Partial Controller Support;Steam Cloud,Action;Simulation
306760,Obduction,2016-08-24,Cyan Inc.,Cyan Inc.,2575,640,"200,000 - 500,000",1186,0,1155,0,29.99,18,1,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,Adventure;Indie
893520,Creative Destruction,2018-08-02,NetEase Games,NetEase Games,14191,3863,"1,000,000 - 2,000,000",403,0,89,0,0.0,284,1,Online Multi-Player;In-App Purchases,Action;Adventure;Casual;Massively Multiplayer
8870,BioShock Infinite,2013-03-25,"Irrational Games, Virtual Programming (Linux)",2K,114216,5760,"2,000,000 - 5,000,000",835,292,600,292,29.99,609,1,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action
589870,Learn to Fly 3,2017-05-12,Light Bringer Games inc.,Light Bringer Games inc.,5018,381,"500,000 - 1,000,000",365,1,191,1,0.0,213,1,Single-player;Steam Achievements;Steam Trading Cards;In-App Purchases;Steam Cloud;Stats,Action;Casual;Free to Play;Indie;Simulation;Strategy
8330,Telltale Texas Hold ‘Em,2008-06-17,Telltale,Telltale,107,97,"100,000 - 200,000",4,0,4,0,0.99,1,1,Single-player,Casual
351790,Invisible Apartment,2015-03-02,"Milan Kazarka, Jeroen van Oosten",Vysoko Anime Production,288,119,"100,000 - 200,000",4,0,4,0,0.0,0,1,Single-player,Adventure;Free to Play;Indie
262390,Cloudbuilt,2014-03-20,Coilworks,"Coilworks, Rising Star Games",745,131,"200,000 - 500,000",204,0,347,0,19.99,2,1,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud;Steam Leaderboards;Includes level editor,Action;Indie
311560,Assassin’s Creed Rogue,2015-03-09,"Ubisoft Sofia, Ubisoft Kiev",Ubisoft,9241,1732,"500,000 - 1,000,000",1710,142,1674,225,19.99,178,1,Single-player;Partial Controller Support,Action;Adventure
310950,Street Fighter V,2016-02-15,Capcom,Capcom,22031,12732,"1,000,000 - 2,000,000",2158,425,386,473,19.99,3502,1,Single-player;Multi-player;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards,Action
1500,Darwinia,2005-07-14,Introversion Software,Introversion Software,586,181,"500,000 - 1,000,000",142,0,36,0,9.99,5,1,Single-player,Indie;Strategy
10180,Call of Duty: Modern Warfare 2,2009-11-11,Infinity Ward,Activision,41453,3206,"5,000,000 - 10,000,000",1238,40,560,40,19.99,500,1,Single-player;Multi-player;Co-op;Steam Achievements;Steam Cloud;Valve Anti-Cheat enabled,Action
282100,Fearless Fantasy,2014-05-15,Enter Skies,tinyBuild,772,255,"500,000 - 1,000,000",105,0,77,0,6.99,2,1,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Action;Adventure;Casual;Indie;RPG
517810,Caesar IV,2016-08-29,"Tilted Mill Entertainment, Inc.",Activision,350,163,"100,000 - 200,000",250,0,250,0,9.99,41,1,Single-player,Simulation;Strategy
282010,Carmageddon Max Pack,1997-06-30,Stainless Games Ltd,THQ Nordic,574,73,"100,000 - 200,000",59,0,116,0,9.99,6,1,Single-player;Multi-player;Steam Trading Cards,Action;Indie;Racing
355790,Styx: Shards of Darkness,2017-03-14,Cyanide Studio,Focus Home Interactive,3101,667,"200,000 - 500,000",298,0,187,0,19.99,53,1,Single-player;Online Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Violent;Action;Adventure
792100,7 Billion Humans,2018-08-23,Tomorrow Corporation,Tomorrow Corporation,1166,83,"200,000 - 500,000",224,0,276,0,14.99,73,1,Single-player;Steam Achievements,Indie;Simulation
287260,Toybox Turbos,2014-11-11,Codemasters,"Codemasters, Electronic Arts",1350,235,"100,000 - 200,000",123,0,128,0,14.99,6,1,Single-player;Multi-player;Steam Achievements;Full controller support;Steam Trading Cards;VR Support;Steam Cloud;Steam Leaderboards,Racing
304050,Trove,2015-07-09,Trion Worlds,Trion Worlds,68128,16007,"10,000,000 - 20,000,000",3711,1174,177,2321,0.0,1987,1,Online Multi-Player;MMO;Co-op;Steam Achievements;Steam Trading Cards;Steam Workshop;In-App Purchases,Action;Adventure;Casual;Free to Play;Massively Multiplayer;RPG
207230,ArcheBlade,2014-04-25,CodeBrush Games,Codebrush Games,5663,2081,"1,000,000 - 2,000,000",207,0,45,0,0.0,4,1,Multi-player;Co-op;Steam Achievements;Steam Trading Cards;Steam Cloud;Stats;Steam Leaderboards,Action;Free to Play;Indie
511680,Fate/EXTELLA,2017-07-25,Marvelous Inc.,"XSEED Games, Marvelous USA, Inc., Marvelous",3550,300,"100,000 - 200,000",755,0,801,0,39.99,16,1,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,Action
244070,Sid Meier’s Ace Patrol,2013-08-27,Firaxis Games,2K,463,223,"200,000 - 500,000",228,0,323,0,4.99,2,1,Single-player;Multi-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Casual;Strategy
17330,Crysis Warhead,2008-09-17,Crytek,Electronic Arts,2605,462,"1,000,000 - 2,000,000",1788,0,199,0,19.99,14,1,Single-player,Action
457550,Bigscreen Beta,2016-04-28,"Bigscreen, Inc.","Bigscreen, Inc.",2046,313,"500,000 - 1,000,000",104,0,28,0,0.0,108,1,Single-player;Multi-player;Online Multi-Player;Cross-Platform Multiplayer,Simulation
342200,MechWarrior Online Solaris 7,2015-12-10,Piranha Games Inc.,Piranha Games Inc.,7109,1972,"1,000,000 - 2,000,000",941,0,47,0,0.0,956,1,Multi-player;MMO;Steam Achievements,Action;Free to Play;Massively Multiplayer;Simulation;Strategy
365160,Kona,2017-03-17,Parabole,"Parabole, Ravenscourt",2186,443,"100,000 - 200,000",444,0,575,0,14.99,10,1,Single-player;Steam Achievements;Full controller support,Adventure;Indie
313120,Stranded Deep,2015-01-23,Beam Team Games,Beam Team Publishing,25142,7906,"1,000,000 - 2,000,000",559,142,379,145,14.99,785,1,Single-player;Full controller support;Includes level editor,Adventure;Indie;Early Access
359800,Copa Petrobras de Marcas,2015-04-08,Reiza Studios,Reiza Studios,1479,859,"500,000 - 1,000,000",63,0,16,0,0.0,13,1,Single-player;Partial Controller Support,Free to Play;Racing;Simulation;Sports
387970,Clown House (Palyaço Evi),2015-08-24,"gord10, Aslan Game Studio",Aslan Game Studio,522,563,"200,000 - 500,000",15,0,15,0,0.0,0,1,Single-player,Action;Free to Play;Indie
804490,Creed: Rise to Glory,2018-09-25,Survios,Survios,1135,288,"200,000 - 500,000",138,59,233,59,29.99,12,1,Single-player;Online Multi-Player,Action;Indie;Simulation;Sports
585450,Shadows: Awakening,2018-08-31,Games Farm,Kalypso Media,1542,467,"100,000 - 200,000",239,0,304,0,29.99,32,1,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action;RPG
229810,A Fistful of Gun,2015-09-23,FarmerGnome,Devolver Digital,294,163,"100,000 - 200,000",121,0,128,0,9.99,1,1,Single-player;Multi-player;Co-op;Shared/Split Screen;Steam Achievements;Steam Trading Cards;Partial Controller Support,Action;Indie
323060,Tharsis,2016-01-11,Choice Provisions,Choice Provisions,1640,684,"500,000 - 1,000,000",239,0,325,0,14.99,1,1,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Indie;RPG;Strategy
299740,Miscreated,2018-12-18,Entrada Interactive LLC,Entrada Interactive LLC,21060,10370,"500,000 - 1,000,000",2917,5,295,5,29.99,208,1,Multi-player;Online Multi-Player;MMO;Steam Achievements;Steam Trading Cards;Partial Controller Support;Valve Anti-Cheat enabled,Action;Adventure;Indie;Massively Multiplayer;RPG;Simulation;Strategy
582890,Estranged: The Departure,2017-03-17,Alan Edwardes,Alan Edwardes,1702,243,"200,000 - 500,000",147,0,41,0,5.99,4,1,Single-player;Full controller support,Action;Adventure;Casual;Indie;Early Access
755800,Hades' Star,2019-02-27,Parallel Space Inc,Parallel Space Inc,1413,349,"200,000 - 500,000",0,0,0,0,0.0,461,1,Online Multi-Player;MMO;Online Co-op;Cross-Platform Multiplayer;Steam Achievements;In-App Purchases,Free to Play;Massively Multiplayer;Strategy
364470,The Elder Scrolls: Legends,2017-05-31,"Sparkypants Studios, LLC",Bethesda Softworks,7234,2501,"1,000,000 - 2,000,000",1303,0,142,0,0.0,315,1,Single-player;Multi-player;Online Multi-Player;Cross-Platform Multiplayer;Steam Trading Cards;In-App Purchases,Free to Play
4920,Natural Selection 2,2012-10-30,Unknown Worlds Entertainment,Unknown Worlds Entertainment,10375,1782,"1,000,000 - 2,000,000",1613,0,208,0,9.99,178,1,Multi-player;Online Multi-Player;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Cloud;Valve Anti-Cheat enabled;Includes level editor,Action;Indie;Strategy
287980,Mini Metro,2015-11-06,Dinosaur Polo Club,Dinosaur Polo Club,11412,398,"500,000 - 1,000,000",527,1621,256,1621,9.99,187,1,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Indie;Simulation;Strategy
292230,Game Character Hub,2014-05-23,Sebastien Bini,Degica,214,97,"100,000 - 200,000",524,0,979,0,14.99,4,1,Steam Workshop,Design & Illustration;Utilities
39510,Gothic II: Gold Edition,2010-01-13,Piranha Bytes,THQ Nordic,8174,717,"500,000 - 1,000,000",1065,0,954,0,9.99,624,1,Single-player,Action;RPG
742300,Mega Man 11,2018-10-02,"CAPCOM CO., LTD.","CAPCOM CO., LTD.",2832,262,"200,000 - 500,000",403,77,283,77,29.99,13,1,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action
239070,Hammerwatch,2013-08-12,Crackshell,Crackshell,5535,623,"500,000 - 1,000,000",441,0,398,0,9.99,20,1,Single-player;Multi-player;Co-op;Shared/Split Screen;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Workshop;Partial Controller Support;Includes level editor,Action;Adventure;Indie;RPG
557680,Germ Wars,2016-11-21,Svarog Studios,Back To Basics Gaming,113,95,"200,000 - 500,000",190,0,211,0,0.99,1,1,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support,Action;Casual;Indie
347830,Fairy Fencer F,2015-08-04,"Idea Factory, Compile Heart",Idea Factory International,2103,235,"200,000 - 500,000",980,0,1395,0,9.99,4,1,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,RPG
297120,Heavy Bullets,2014-09-18,"Terri Vellmann, Doseone",Devolver Digital,1135,248,"100,000 - 200,000",31,0,38,0,9.99,3,1,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Leaderboards,Action;Indie
395200,Ben and Ed,2015-12-08,Sluggerfly,Sluggerfly,1849,432,"100,000 - 200,000",247,0,166,0,9.99,18,1,Single-player;Steam Achievements;Partial Controller Support,Action;Adventure;Indie
375680,Apartment 666,2016-08-03,I Need Play,I Need Play,133,269,"100,000 - 200,000",241,0,234,0,1.99,1,1,Single-player;Steam Achievements;Steam Trading Cards,Action;Adventure;Indie
323220,Vagante,2018-02-21,Nuke Nine,Nuke Nine,3070,310,"200,000 - 500,000",1696,85,2457,85,14.99,112,1,Single-player;Co-op;Online Co-op;Local Co-op;Shared/Split Screen;Full controller support;Steam Cloud,Action;Adventure;Indie;RPG
399790,Destiny Warriors RPG,2015-09-11,ninjalex,Senpai Studios,486,517,"500,000 - 1,000,000",255,0,251,0,1.99,3,1,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Adventure;Indie;RPG
575090,Flame of Memory,2017-12-08,Kacper Stasiełuk,Kacper Stasiełuk,22,11,"100,000 - 200,000",253,0,253,0,0.0,0,1,Single-player;Steam Trading Cards,Indie;Strategy
331790,Data Hacker: Reboot,2015-04-17,New Reality Games,New Reality Games,109,78,"100,000 - 200,000",246,0,253,0,2.99,0,1,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,Adventure;Indie;RPG
271500,Sniper Art of Victory,2014-01-31,CI Games,CI Games,500,1177,"200,000 - 500,000",77,0,34,0,2.99,3,1,Single-player,Action
224940,Legacy of Kain: Soul Reaver 2,2012-12-06,Crystal Dynamics,Square Enix,504,223,"200,000 - 500,000",21,0,28,0,6.99,8,1,Single-player,Action;Adventure
249130,LEGO Marvel Super Heroes,2013-11-15,Traveller's Tales,Warner Bros. Interactive Entertainment,14304,878,"1,000,000 - 2,000,000",1853,54,1129,94,19.99,314,1,Single-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Cloud,Action;Adventure
293180,Overcast - Walden and the Werewolf,2014-04-18,Microblast Games,SA Industry,1610,1067,"1,000,000 - 2,000,000",271,0,252,0,0.99,7,1,Single-player;Steam Trading Cards,Action;Adventure;Indie
38700,Toki Tori,2010-01-28,Two Tribes,Two Tribes Publishing,1767,247,"200,000 - 500,000",382,0,402,0,4.99,4,1,Single-player;Steam Achievements;Partial Controller Support;Steam Cloud;Includes level editor,Casual;Indie
605610,Dawn,2017-03-31,Brave Rabbit Games,SMU Guildhall,664,67,"100,000 - 200,000",13,0,13,0,0.0,0,1,Single-player;Steam Achievements;Full controller support,Adventure;Casual;Free to Play
559340,Sunset Rangers,2018-03-01,FishermanGameDev,FishermanGameDev,133,156,"100,000 - 200,000",0,0,0,0,0.0,0,1,Online Multi-Player;Online Co-op,Action;Indie;RPG
551550,ASSASSINATION BOX,2018-01-22,ZELENYUK,ZELENYUK,37,79,"200,000 - 500,000",216,0,220,0,5.99,48,1,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Action;Indie
663380,Tales from Candlekeep: Tomb of Annihilation,2017-10-11,BKOM Studios,BKOM Studios,1315,546,"200,000 - 500,000",123,0,123,0,15.99,4,1,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Adventure;RPG;Strategy
311480,Vertical Drop Heroes HD,2014-07-25,Nerdook Productions,Digerati,589,136,"100,000 - 200,000",84,0,68,0,6.99,1,1,Single-player;Multi-player;Co-op;Shared/Split Screen;Steam Achievements;Partial Controller Support;Stats;Steam Leaderboards,Action;Indie
368390,The Darkside Detective,2017-07-27,Spooky Doorway,Akupara Games,2361,127,"100,000 - 200,000",263,0,264,0,12.99,15,1,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Adventure;Casual;Indie
218740,Pid,2012-10-31,Might and Delight,Might and Delight,2018,379,"200,000 - 500,000",75,0,40,0,19.99,2,1,Single-player;Shared/Split Screen;Steam Achievements;Full controller support,Adventure;Indie
16810,Sid Meier's Civilization IV: Colonization,2008-09-23,Firaxis Games,2K,749,135,"1,000,000 - 2,000,000",552,0,716,0,19.99,229,1,Single-player;Multi-player,Strategy
361300,Mother Russia Bleeds,2016-09-05,Le Cartel Studio,Devolver Digital,3564,545,"200,000 - 500,000",224,0,205,0,14.99,14,1,Single-player;Local Multi-Player;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action;Indie
314070,Super Mega Baseball: Extra Innings,2015-08-21,Metalhead Software Inc.,Electronic Arts,767,86,"100,000 - 200,000",186,0,327,0,12.99,8,1,Single-player;Local Multi-Player;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Stats;Steam Leaderboards,Indie;Simulation;Sports
501080,Fishing: Barents Sea,2018-02-07,Misc Games,astragon Entertainment,1626,451,"100,000 - 200,000",7632,0,7632,0,24.99,39,1,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Simulation
507520,Zzzz-Zzzz-Zzzz,2017-06-05,SaintHeiser,Half-Face Games,176,48,"100,000 - 200,000",0,0,0,0,3.99,2,1,Single-player;Steam Trading Cards,Adventure;Casual;Indie
214590,Fairy Bloom Freesia,2012-10-17,Edelweiss,Nyu Media,902,159,"100,000 - 200,000",136,0,180,0,7.99,1,1,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,Action;Indie
1930,Two Worlds Epic Edition,2009-04-30,Reality Pump Studios,Topware Interactive,3624,1208,"1,000,000 - 2,000,000",377,10,416,10,9.99,72,1,Single-player;Multi-player;Online Multi-Player;Online Co-op;Cross-Platform Multiplayer;Steam Trading Cards;Partial Controller Support,RPG
242780,Cognition: An Erica Reed Thriller,2013-09-19,Phoenix Online Studios,Phoenix Online Publishing,607,126,"200,000 - 500,000",279,0,344,0,14.99,3,1,Single-player;Steam Achievements;Steam Trading Cards;Captions available;Steam Cloud,Adventure;Indie
264300,Guns n Zombies,2014-10-30,Krealit,Krealit,669,289,"100,000 - 200,000",172,0,202,0,7.99,2,1,Single-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action;Adventure;Indie;RPG
445980,Wizard of Legend,2018-05-15,Contingent99,"Contingent99, Humble Games",13466,1262,"1,000,000 - 2,000,000",444,261,244,261,15.99,296,1,Single-player;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action;Adventure;Indie
265590,The Red Solstice,2015-07-09,Ironward,Ironward,1691,643,"1,000,000 - 2,000,000",266,0,277,0,9.99,14,1,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Steam Achievements;Steam Trading Cards;Captions available;Steam Cloud;Stats;Steam Leaderboards,Action;Indie;RPG;Strategy
945360,Among Us,2018-11-16,Innersloth,Innersloth,550740,45150,"20,000,000 - 50,000,000",1292,187,679,93,4.99,8374,1,Multi-player;Online Multi-Player;Local Multi-Player;Co-op;Online Co-op;Local Co-op;Cross-Platform Multiplayer,Casual
495890,Montaro,2016-07-25,JCKSLAP,MBDL,11332,543,"200,000 - 500,000",149,0,167,0,0.99,50,1,Single-player;Steam Achievements;Steam Trading Cards,Casual;Indie
932850,Simmiland,2018-11-30,Sokpop Collective,Sokpop Collective,780,89,"100,000 - 200,000",92,0,119,0,4.99,13,1,Single-player;Steam Achievements;Full controller support;Steam Cloud,Indie;Simulation
3730,Aliens versus Predator Classic 2000,2010-01-15,Rebellion,Rebellion,1867,265,"200,000 - 500,000",122,0,80,0,4.99,7,1,Single-player;Multi-player,Action
349720,Audition Online,2015-06-03,T3 Entertainment,Redbana Corporation,894,563,"500,000 - 1,000,000",4962,0,256,0,0.0,48,1,Single-player;MMO,Casual;Free to Play;Massively Multiplayer
631570,Whispers of a Machine,2019-04-17,"Clifftop Games, Faravid Interactive",Raw Fury,1158,71,"100,000 - 200,000",215,0,215,0,14.99,6,1,Single-player;Steam Achievements,Adventure
520440,GUILTY GEAR Xrd -REVELATOR-,2016-12-14,Arc System Works,Arc System Works,6371,461,"200,000 - 500,000",909,5,420,5,29.99,176,1,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action
223710,Cry of Fear,2013-04-25,Team Psykskallar,Team Psykskallar,32228,5206,"2,000,000 - 5,000,000",168,71,51,71,0.0,185,1,Single-player;Co-op;Steam Cloud;Valve Anti-Cheat enabled,Action;Adventure;Indie
1029500,中华三国志 the Three Kingdoms of China,2019-03-30,中三之家,中三之家,1007,174,"200,000 - 500,000",0,0,0,0,0.0,19,0,Single-player,Free to Play;Indie;Strategy
301200,Frederic: Evil Strikes Back,2014-05-23,Forever Entertainment S. A.,Forever Entertainment S. A.,646,119,"100,000 - 200,000",239,0,265,0,7.99,3,1,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action;Casual;Indie
550470,NosTale - Anime MMORPG,2017-09-18,"Entwell Co., Ltd.",Gameforge 4D GmbH,1683,710,"500,000 - 1,000,000",397,0,504,0,0.0,355,1,Multi-player;Online Multi-Player;MMO;Online Co-op;Steam Trading Cards;In-App Purchases,Action;Adventure;Free to Play;Massively Multiplayer;RPG
227780,Serious Sam Classics: Revolution,2014-04-30,"Croteam, Alligator Pit",Devolver Digital,2470,245,"200,000 - 500,000",249,10,215,10,9.99,26,1,Single-player;Multi-player;Co-op;Shared/Split Screen;Steam Achievements;Steam Workshop;Partial Controller Support;Steam Cloud;Stats;Steam Leaderboards;Includes level editor,Action;Indie;Early Access
348460,Bierzerkers,2016-02-25,Shield Break Studios,Shield Break Studios,252,281,"100,000 - 200,000",27,0,27,0,4.99,0,1,Single-player;Multi-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action;Indie
214830,Half Minute Hero: Super Mega Neo Climax Ultimate Boy,2012-09-27,Opus,Marvelous,1218,192,"200,000 - 500,000",152,0,143,0,9.99,2,1,Single-player;Multi-player;Co-op;Steam Achievements;Full controller support;Steam Cloud;Stats;Steam Leaderboards,Action;Casual;RPG
204060,Superbrothers: Sword & Sworcery EP,2012-04-16,"Capybara, Superbrothers, Jim Guthrie",Capybara Games,1889,546,"500,000 - 1,000,000",57,0,41,0,7.99,1,1,Single-player;Steam Achievements;Steam Cloud,Adventure;Indie
