appid,name,release_date,developer,publisher,positive_reviews,negative_reviews,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,ccu,english,categories,genres
24240,PAYDAY The Heist,2011-10-20,OVERKILL Software,Daybreak Game Company,35233,2548,"2,000,000 - 5,000,000",483,66,202,66,14.99,62,1,Single-player;Co-op;Steam Achievements;Steam Trading Cards;Steam Cloud;Stats,Action
243780,PixelJunk Monsters Ultimate,2013-08-26,"Double Eleven, Q-Games Ltd.",Double Eleven,797,211,"200,000 - 500,000",249,0,270,0,9.99,12,1,Single-player;Multi-player;Co-op;Shared/Split Screen;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Strategy
254200,FortressCraft Evolved!,2015-11-09,ProjectorGames,Digital Tribe,2040,758,"100,000 - 200,000",954,0,1878,0,12.99,46,1,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;VR Support;Steam Workshop;Partial Controller Support;Stats;Steam Leaderboards;Includes level editor,Adventure;Casual;Indie;RPG;Simulation;Strategy
201870,Assassin's Creed Revelations,2011-11-30,Ubisoft Montreal,Ubisoft,9731,1600,"1,000,000 - 2,000,000",1143,0,788,0,19.99,128,1,Single-player;Multi-player,Action;Adventure
500,Left 4 Dead,2008-11-17,Valve,Valve,36200,1481,"2,000,000 - 5,000,000",860,0,137,0,9.99,597,1,Single-player;Multi-player;Co-op;Steam Achievements;Full controller support;Captions available;Steam Cloud;Valve Anti-Cheat enabled;Stats;Steam Leaderboards;Includes Source SDK;Commentary available,Action
234940,The 39 Steps,2013-04-25,The Story Mechanics,The Secret Experiment,1108,361,"200,000 - 500,000",328,0,264,0,4.99,64,1,Single-player;Steam Achievements;Steam Trading Cards,Adventure;Casual;Indie
39200,Dungeon Siege II,2005-08-16,Gas Powered Games,Square Enix,1408,529,"500,000 - 1,000,000",50,0,60,0,6.99,56,1,Single-player,RPG
373180,Kung Fury: Street Rage,2015-05-28,Hello There Games,"Hello There Games, Aurora Punks",2109,229,"200,000 - 500,000",47,0,81,0,6.99,6,1,Single-player;Steam Trading Cards;Partial Controller Support;Steam Leaderboards,Action
879160,Battlerite Royale,2019-02-19,Stunlock Studios,Stunlock Studios,5715,2069,"500,000 - 1,000,000",618,0,134,0,0.0,37,1,Single-player;Multi-player;Online Multi-Player;In-App Purchases,Action;Free to Play;Massively Multiplayer
365360,Battle Brothers,2017-03-24,Overhype Studios,Overhype Studios,13051,1761,"500,000 - 1,000,000",4973,741,7843,741,29.99,1344,1,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Indie;RPG;Strategy
